ANIO_MES,AÑO,MES,MES_NOMBRE,ENTIDAD,CONCEPTO,TIPO,CASOS
2024-01,2024,1,ENERO,SONORA,CONTRA LA SALUD,PRODUCCION,0
2024-01,2024,1,ENERO,SONORA,CONTRA LA SALUD,COMERCIO,0
2024-01,2024,1,ENERO,SONORA,CONTRA LA SALUD,SUMINISTRO,0
2024-01,2024,1,ENERO,SONORA,CONTRA LA SALUD,OTROS,0
2024-01,2024,1,ENERO,TABASCO,CONTRA LA SALUD,PRODUCCION,0
2024-01,2024,1,ENERO,TABASCO,CONTRA LA SALUD,TRANSPORTE,0
2024-01,2024,1,ENERO,TABASCO,CONTRA LA SALUD,TRAFICO,0
2024-01,2024,1,ENERO,TABASCO,CONTRA LA SALUD,COMERCIO,0
2024-01,2024,1,ENERO,TABASCO,CONTRA LA SALUD,SUMINISTRO,0
2024-01,2024,1,ENERO,TABASCO,CONTRA LA SALUD,POSESION,0
2024-01,2024,1,ENERO,TABASCO,CONTRA LA SALUD,OTROS,0
2024-01,2024,1,ENERO,TAMAULIPAS,CONTRA LA SALUD,PRODUCCION,0
2024-01,2024,1,ENERO,TAMAULIPAS,CONTRA LA SALUD,TRANSPORTE,0
2024-01,2024,1,ENERO,TAMAULIPAS,CONTRA LA SALUD,TRAFICO,0
2024-01,2024,1,ENERO,TAMAULIPAS,CONTRA LA SALUD,SUMINISTRO,0
2024-01,2024,1,ENERO,TAMAULIPAS,CONTRA LA SALUD,OTROS,0
2024-01,2024,1,ENERO,TLAXCALA,CONTRA LA SALUD,PRODUCCION,0
2024-01,2024,1,ENERO,TLAXCALA,CONTRA LA SALUD,TRANSPORTE,0
2024-01,2024,1,ENERO,TLAXCALA,CONTRA LA SALUD,TRAFICO,0
2024-01,2024,1,ENERO,TLAXCALA,CONTRA LA SALUD,SUMINISTRO,0
2024-01,2024,1,ENERO,TLAXCALA,CONTRA LA SALUD,POSESION,0
2024-01,2024,1,ENERO,TLAXCALA,CONTRA LA SALUD,OTROS,0
2024-01,2024,1,ENERO,VERACRUZ,CONTRA LA SALUD,PRODUCCION,0
2024-01,2024,1,ENERO,VERACRUZ,CONTRA LA SALUD,COMERCIO,0
2024-01,2024,1,ENERO,VERACRUZ,CONTRA LA SALUD,SUMINISTRO,0
2024-01,2024,1,ENERO,VERACRUZ,CONTRA LA SALUD,OTROS,0
2024-01,2024,1,ENERO,YUCATAN,CONTRA LA SALUD,PRODUCCION,0
2024-01,2024,1,ENERO,YUCATAN,CONTRA LA SALUD,TRAFICO,0
2024-01,2024,1,ENERO,YUCATAN,CONTRA LA SALUD,SUMINISTRO,0
2024-01,2024,1,ENERO,YUCATAN,CONTRA LA SALUD,OTROS,0
2024-01,2024,1,ENERO,ZACATECAS,CONTRA LA SALUD,PRODUCCION,0
2024-01,2024,1,ENERO,ZACATECAS,CONTRA LA SALUD,TRANSPORTE,0
2024-01,2024,1,ENERO,ZACATECAS,CONTRA LA SALUD,TRAFICO,0
2024-01,2024,1,ENERO,ZACATECAS,CONTRA LA SALUD,COMERCIO,0
2024-01,2024,1,ENERO,ZACATECAS,CONTRA LA SALUD,SUMINISTRO,0
2024-01,2024,1,ENERO,ZACATECAS,CONTRA LA SALUD,OTROS,0
2024-01,2024,1,ENERO,CIUDAD DE MEXICO,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,2
2024-01,2024,1,ENERO,AGUASCALIENTES,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),CONTRA LA SALUD,1
2024-01,2024,1,ENERO,CHIHUAHUA,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),CONTRA LA SALUD,1
2024-01,2024,1,ENERO,CHIHUAHUA,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,1
2024-01,2024,1,ENERO,CIUDAD DE MEXICO,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),CONTRA LA SALUD,1
2024-01,2024,1,ENERO,JALISCO,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,1
2024-01,2024,1,ENERO,MEXICO,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,1
2024-01,2024,1,ENERO,NUEVO LEON,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,1
2024-01,2024,1,ENERO,PUEBLA,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,1
2024-01,2024,1,ENERO,TAMAULIPAS,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,1
2024-01,2024,1,ENERO,AGUASCALIENTES,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,0
2024-01,2024,1,ENERO,BAJA CALIFORNIA,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),CONTRA LA SALUD,0
2024-01,2024,1,ENERO,BAJA CALIFORNIA,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,0
2024-01,2024,1,ENERO,BAJA CALIFORNIA SUR,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),CONTRA LA SALUD,0
2024-01,2024,1,ENERO,BAJA CALIFORNIA SUR,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,0
