ENTIDAD,CONCEPTO,TIPO,TOTAL_ENE_JUL_2025
SAN LUIS POTOSI,CONTRA LA SALUD,PRODUCCION,1
SAN LUIS POTOSI,CONTRA LA SALUD,SUMINISTRO,1
SAN LUIS POTOSI,CONTRA LA SALUD,TRAFICO,42
SAN LUIS POTOSI,CONTRA LA SALUD,TRANSPORTE,20
SINALOA,CONTRA LA SALUD,COMERCIO,7
SINALOA,CONTRA LA SALUD,OTROS,27
SINALOA,CONTRA LA SALUD,POSESION,135
SINALOA,CONTRA LA SALUD,PRODUCCION,10
SINALOA,CONTRA LA SALUD,TRAFICO,41
SINALOA,CONTRA LA SALUD,TRANSPORTE,112
SONORA,CONTRA LA SALUD,COMERCIO,12
SONORA,CONTRA LA SALUD,OTROS,8
SONORA,CONTRA LA SALUD,POSESION,107
SONORA,CONTRA LA SALUD,PRODUCCION,2
SONORA,CONTRA LA SALUD,TRAFICO,60
SONORA,CONTRA LA SALUD,TRANSPORTE,87
TABASCO,CONTRA LA SALUD,COMERCIO,7
TABASCO,CONTRA LA SALUD,POSESION,9
TABASCO,CONTRA LA SALUD,TRAFICO,2
TABASCO,CONTRA LA SALUD,TRANSPORTE,3
TAMAULIPAS,CONTRA LA SALUD,COMERCIO,6
TAMAULIPAS,CONTRA LA SALUD,POSESION,42
TAMAULIPAS,CONTRA LA SALUD,TRAFICO,17
TAMAULIPAS,CONTRA LA SALUD,TRANSPORTE,5
TLAXCALA,CONTRA LA SALUD,COMERCIO,5
TLAXCALA,CONTRA LA SALUD,OTROS,1
TLAXCALA,CONTRA LA SALUD,POSESION,18
TLAXCALA,CONTRA LA SALUD,PRODUCCION,1
TLAXCALA,CONTRA LA SALUD,TRAFICO,3
TLAXCALA,CONTRA LA SALUD,TRANSPORTE,1
VERACRUZ,CONTRA LA SALUD,COMERCIO,3
VERACRUZ,CONTRA LA SALUD,POSESION,10
VERACRUZ,CONTRA LA SALUD,TRAFICO,2
VERACRUZ,CONTRA LA SALUD,TRANSPORTE,2
YUCATAN,CONTRA LA SALUD,POSESION,5
YUCATAN,CONTRA LA SALUD,TRAFICO,8
YUCATAN,CONTRA LA SALUD,TRANSPORTE,9
ZACATECAS,CONTRA LA SALUD,OTROS,6
ZACATECAS,CONTRA LA SALUD,POSESION,9
ZACATECAS,CONTRA LA SALUD,PRODUCCION,1
ZACATECAS,CONTRA LA SALUD,TRAFICO,2
AGUASCALIENTES,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),CONTRA LA SALUD,2
BAJA CALIFORNIA,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),CONTRA LA SALUD,2
BAJA CALIFORNIA,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,5
BAJA CALIFORNIA SUR,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,5
CAMPECHE,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,1
CHIAPAS,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),CONTRA LA SALUD,3
CHIAPAS,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,4
CHIHUAHUA,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),CONTRA LA SALUD,2
CHIHUAHUA,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,6
CIUDAD DE MEXICO,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),CONTRA LA SALUD,8
CIUDAD DE MEXICO,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,26
COAHUILA,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),CONTRA LA SALUD,1
COAHUILA,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,1
COLIMA,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),CONTRA LA SALUD,1
COLIMA,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,3
DURANGO,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),CONTRA LA SALUD,2
DURANGO,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,2
GUANAJUATO,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,10
GUERRERO,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),CONTRA LA SALUD,4
GUERRERO,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,6
HIDALGO,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),CONTRA LA SALUD,1
HIDALGO,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,5
JALISCO,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),CONTRA LA SALUD,4
JALISCO,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,22
MEXICO,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),CONTRA LA SALUD,1
MEXICO,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,14
MICHOACAN,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),CONTRA LA SALUD,4
MICHOACAN,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,5
MORELOS,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),CONTRA LA SALUD,1
MORELOS,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,3
NAYARIT,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),CONTRA LA SALUD,1
NUEVO LEON,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),CONTRA LA SALUD,1
NUEVO LEON,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,4
OAXACA,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),CONTRA LA SALUD,1
OAXACA,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,1
PUEBLA,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),CONTRA LA SALUD,1
PUEBLA,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,7
QUERETARO,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,5
QUINTANA ROO,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,6
SAN LUIS POTOSI,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),CONTRA LA SALUD,1
SAN LUIS POTOSI,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,1
SINALOA,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),CONTRA LA SALUD,15
SINALOA,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,17
SONORA,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),CONTRA LA SALUD,8
SONORA,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,9
TABASCO,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,3
TAMAULIPAS,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),CONTRA LA SALUD,1
TAMAULIPAS,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,11
VERACRUZ,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),CONTRA LA SALUD,1
VERACRUZ,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,7
YUCATAN,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),CONTRA LA SALUD,1
