ENTIDAD,CONCEPTO,TIPO,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07
QUINTANA ROO,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),CONTRA LA SALUD,,,,,,,,,,,,,,,,,,,
QUINTANA ROO,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,-100.0,,,0.0,0.0,-100.0,,,-100.0,,-100.0,,0.0,-100.0,,100.0,-100.0,,-100.0
QUINTANA ROO,LEY GENERAL DE SALUD (L.G.S.),CONTRA LA SALUD EN SU MODALIDAD DE NARCOMENUDEO,,0.0,0.0,0.0,0.0,-100.0,,,0.0,-100.0,,0.0,-100.0,,,,,,
QUINTANA ROO,LEY GENERAL DE SALUD (L.G.S.),OTROS DELITOS PREVISTOS EN LA L.G.S.,,,,-100.0,,,,,-100.0,,,,,,,,,,
QUINTANA ROO,OTRAS LEYES Y CODIGOS,CODIGO FISCAL DE LA FEDERACION (C.F.F.),-50.0,50.0,0.0,-33.3,50.0,33.3,-25.0,33.3,0.0,-25.0,66.7,0.0,-100.0,,-50.0,100.0,50.0,33.3,-75.0
QUINTANA ROO,OTRAS LEYES Y CODIGOS,LEY DE LA PROPIEDAD INDUSTRIAL (L.P.I.),-50.0,-100.0,,-50.0,50.0,-33.3,-100.0,,,,,0.0,-100.0,,0.0,-100.0,,-100.0,
QUINTANA ROO,OTRAS LEYES Y CODIGOS,LEY DE MIGRACION,-100.0,,,,,-100.0,,,,,,,-100.0,,-100.0,,,-100.0,
QUINTANA ROO,OTRAS LEYES Y CODIGOS,LEY DE VIAS GENERALES DE COMUNICACION (L.V.G.C.),-100.0,,-100.0,,,,,-100.0,,-100.0,,-100.0,,,,,,,
QUINTANA ROO,OTRAS LEYES Y CODIGOS,LEY FEDERAL DE ARMAS DE FUEGO Y EXPLOSIVOS (L.F.A.F.E.),4.8,-4.5,-33.3,35.7,47.4,-10.7,-4.0,-16.7,20.0,-50.0,83.3,-27.3,-6.2,-13.3,-23.1,20.0,-16.7,20.0,-16.7
QUINTANA ROO,OTRAS LEYES Y CODIGOS,LEY FEDERAL DEL DERECHO DE AUTOR (L.F.D.A.),,,,,,,,,,,,,,,,,,,
QUINTANA ROO,OTRAS LEYES Y CODIGOS,LEY FEDERAL PARA PREVENIR Y SANCIONAR LOS DELITOS COMETIDOS EN MATERIA DE HIDROCARBUROS (L.F.P.S.D.C.M.H.),0.0,-100.0,,,-100.0,,-100.0,,,-100.0,,-100.0,,,,,,,
QUINTANA ROO,OTRAS LEYES Y CODIGOS,LEY GENERAL EN MATERIA DE DELITOS ELECTORALES (L.G.M.D.E.),,,-100.0,,-100.0,,,-100.0,,,-100.0,,,,-100.0,,,,
QUINTANA ROO,OTRAS LEYES Y CODIGOS,"LEYES DE INSTITUCIONES DE CREDITO, INVERSION, FIANZAS Y SEGUROS",,,,,-33.3,-50.0,100.0,-50.0,100.0,-100.0,,-100.0,,-100.0,,-100.0,,0.0,0.0
QUINTANA ROO,OTRAS LEYES Y CODIGOS,OTRAS LEYES ESPECIALES,-83.3,400.0,80.0,0.0,11.1,-60.0,-50.0,100.0,-25.0,-66.7,300.0,25.0,0.0,-60.0,-50.0,100.0,50.0,-66.7,400.0
QUINTANA ROO,OTROS DELITOS,COMETIDOS POR SERVIDORES PUBLICOS,66.7,0.0,40.0,-57.1,233.3,-30.0,-57.1,233.3,-90.0,600.0,-71.4,350.0,-55.6,0.0,0.0,-25.0,100.0,-33.3,-25.0
