ENTIDAD,CONCEPTO,TIPO,2019,2020,2021,2022,2023,2024,2025
AGUASCALIENTES,LEY GENERAL DE SALUD (L.G.S.),VIAS DE COMUNICACION Y CORRESPONDENCIA,0,0,0,0,0,0,0
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,CODIGO FISCAL DE LA FEDERACION (C.F.F.),14,18,13,6,8,9,7
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,COMERCIO,0,0,0,0,0,0,0
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,COMETIDOS POR SERVIDORES PUBLICOS,0,0,0,0,0,0,0
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,CONTRA EL AMBIENTE Y LA GESTION AMBIENTAL,0,0,0,0,0,0,0
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,CONTRA LA INTEGRIDAD CORPORAL,0,0,0,0,0,0,0
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,CONTRA LA SALUD,0,0,0,0,0,0,0
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,CONTRA LA SALUD EN SU MODALIDAD DE NARCOMENUDEO,0,0,0,0,0,0,0
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,ELECTORALES,0,0,0,0,0,0,0
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,EN MATERIA DE DERECHOS DE AUTOR,0,0,0,0,0,0,0
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,"FALSEDAD, TITULO DECIMO TERCERO",0,0,0,0,0,0,0
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,LEY DE LA PROPIEDAD INDUSTRIAL (L.P.I.),1,1,3,0,2,0,4
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,LEY DE MIGRACION,3,0,3,4,2,1,0
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,LEY DE VIAS GENERALES DE COMUNICACION (L.V.G.C.),25,15,62,46,67,54,34
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,LEY FEDERAL DE ARMAS DE FUEGO Y EXPLOSIVOS (L.F.A.F.E.),74,94,67,54,60,78,76
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,LEY FEDERAL DEL DERECHO DE AUTOR (L.F.D.A.),0,0,0,0,0,0,0
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,LEY FEDERAL PARA PREVENIR Y SANCIONAR LOS DELITOS COMETIDOS EN MATERIA DE HIDROCARBUROS (L.F.P.S.D.C.M.H.),14,5,14,3,1,3,3
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,LEY GENERAL EN MATERIA DE DELITOS ELECTORALES (L.G.M.D.E.),14,13,22,7,0,25,9
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,"LEYES DE INSTITUCIONES DE CREDITO, INVERSION, FIANZAS Y SEGUROS",7,9,20,3,10,31,6
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,OTRAS LEYES ESPECIALES,22,13,21,52,39,23,57
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,OTROS,0,0,0,0,0,0,0
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,OTROS DELITOS DEL C.P.F.,0,0,0,0,0,0,0
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,0,0,0,0,0,0,0
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,OTROS DELITOS PREVISTOS EN LA L.G.S.,0,0,0,0,0,0,0
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,PATRIMONIALES,0,0,0,0,0,0,0
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,POSESION,0,0,0,0,0,0,0
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,PRODUCCION,0,0,0,0,0,0,0
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,SUMINISTRO,0,0,0,0,0,0,0
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,TRAFICO,0,0,0,0,0,0,0
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,TRANSPORTE,0,0,0,0,0,0,0
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,VIAS DE COMUNICACION Y CORRESPONDENCIA,0,0,0,0,0,0,0
AGUASCALIENTES,OTROS DELITOS,CODIGO FISCAL DE LA FEDERACION (C.F.F.),0,0,0,0,0,0,0
AGUASCALIENTES,OTROS DELITOS,COMERCIO,0,0,0,0,0,0,0
AGUASCALIENTES,OTROS DELITOS,COMETIDOS POR SERVIDORES PUBLICOS,19,11,12,11,32,13,8
AGUASCALIENTES,OTROS DELITOS,CONTRA EL AMBIENTE Y LA GESTION AMBIENTAL,2,5,4,3,3,1,4
AGUASCALIENTES,OTROS DELITOS,CONTRA LA INTEGRIDAD CORPORAL,6,4,2,1,8,9,7
AGUASCALIENTES,OTROS DELITOS,CONTRA LA SALUD,0,0,0,0,0,0,0
AGUASCALIENTES,OTROS DELITOS,CONTRA LA SALUD EN SU MODALIDAD DE NARCOMENUDEO,0,0,0,0,0,0,0
AGUASCALIENTES,OTROS DELITOS,ELECTORALES,0,0,0,0,0,1,0
AGUASCALIENTES,OTROS DELITOS,EN MATERIA DE DERECHOS DE AUTOR,0,2,1,1,0,2,0
AGUASCALIENTES,OTROS DELITOS,"FALSEDAD, TITULO DECIMO TERCERO",12,10,16,6,10,12,14
AGUASCALIENTES,OTROS DELITOS,LEY DE LA PROPIEDAD INDUSTRIAL (L.P.I.),0,0,0,0,0,0,0
AGUASCALIENTES,OTROS DELITOS,LEY DE MIGRACION,0,0,0,0,0,0,0
AGUASCALIENTES,OTROS DELITOS,LEY DE VIAS GENERALES DE COMUNICACION (L.V.G.C.),0,0,0,0,0,0,0
AGUASCALIENTES,OTROS DELITOS,LEY FEDERAL DE ARMAS DE FUEGO Y EXPLOSIVOS (L.F.A.F.E.),0,0,0,0,0,0,0
AGUASCALIENTES,OTROS DELITOS,LEY FEDERAL DEL DERECHO DE AUTOR (L.F.D.A.),0,0,0,0,0,0,0
